Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Controlled Substance Analgesic and Narcotic Antagonist Quantity Limitations,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Pharmaceutical Policy,"[""Prior Authorization->Quantity Limits""]",https://portal.policyreporter.com/geturlupdate.php?urlid=159224&updateid=1003828,https://portal.policyreporter.com/policy-updates/159224,159224,,11/8/2018,,,,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrec4yp79L6miAWPGG-159224-AKControlled Subs,rec4yp79L6miAWPGG
Coordination of Benefits Verification,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Reimbursement Form,"[""Payment Policies->Billing Policies->Payment Procedures Billing->Coordination Of Benefits Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=316140&updateid=3627650,https://portal.policyreporter.com/policy-updates/316140,316140,,6/9/2023,Active,12/1/2022,,12/1/2023,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecXKJ3Gl23YNCGET-316140-AKCoordination of,recXKJ3Gl23YNCGET
Coronavirus (COVID 19) Interim Billing Guidance for Providers (Commercial),,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",News & Announcements,"[""Administrative Documents->Provider News->Crisis-Management News->COVID-19 Related Provider News""]",https://portal.policyreporter.com/geturlupdate.php?urlid=250933&updateid=3865953,https://portal.policyreporter.com/policy-updates/250933,250933,,10/10/2023,Active,10/5/2023,,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecBflazaemSrXix3-250933-AKCoronavirus (CO,recBflazaemSrXix3
COVID 19 News (Individuals and Families),,Policy Database,Cigna,,,Commercial,"AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",50,"Commercial: [AZ,CO,FL,IL,MO,NC,TN,VA,AL,AR,CA,CT,DC,DE,GA,HI,IN,KS,KY,LA,MA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TX,UT,VI,VT,WA,WI,WV,WY]",News & Announcements,"[""Administrative Documents->Provider News->Crisis-Management News->COVID-19 Related Provider News""]",https://portal.policyreporter.com/geturlupdate.php?urlid=251942&updateid=4540044,https://portal.policyreporter.com/policy-updates/251942,251942,,10/8/2024,Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecQ8RBCttj0bWHMm-251942-ALCOVID 19 News (,recQ8RBCttj0bWHMm
Cushingâ€™s (Korlym) (Preferred),,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Pharmaceutical Policy,"[""Pharmaceuticals->Diabetes Agents->Cortisol Blocking Agents for Diabetes->Korlym""]",https://portal.policyreporter.com/geturlupdate.php?urlid=352204&updateid=4878900,https://portal.policyreporter.com/policy-updates/352204,270026,,5/2/2025,Active,4/9/2025,,4/9/2026,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecuifsxiV9wtmbcv-270026-AKCushingâ€™s (Ko,recuifsxiV9wtmbcv
Custodial and Non-Skilled Care Services,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Service Administrative Document,"[""Payment Policies->Point of Service Billing->Home Health Services->Custodial Care Home Health""]",https://portal.policyreporter.com/geturlupdate.php?urlid=259972&updateid=3876793,https://portal.policyreporter.com/policy-updates/259972,259972,,10/15/2023,Active,10/15/2023,10/15/2024,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:18pm,,,,,,,,,,,,CHIR_IDrecbgopsb9VXCWd98-259972-AKCustodial and N,recbgopsb9VXCWd98
Dose Optimization,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Pharmaceutical Policy,"[""Administrative Documents->Pharmacy Coverage Admin""]",https://portal.policyreporter.com/geturlupdate.php?urlid=175195&updateid=1209199,https://portal.policyreporter.com/policy-updates/175195,175195,,5/15/2019,Active,,,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:21pm,,,,,,,,,,,,CHIR_IDrecf1Asge6SC5AI2L-175195-AKDose Optimizati,recf1Asge6SC5AI2L
DRG Readmission (Commercial),,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Readmission Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=371553&updateid=4851208,https://portal.policyreporter.com/policy-updates/371553,371553,,4/11/2025,Active,10/18/2021,,10/18/2022,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:21pm,,,,,,,,,,,,CHIR_IDreclnwd2UuC2emlyJ-371553-AKDRG Readmission,reclnwd2UuC2emlyJ
Emergency Room Services,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",52,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VT,WA,WI,WV,WY,AK,IA,ID]",Service Administrative Document,"[""Payment Policies->Point of Service Billing->Specialized Care Services->Urgent Care""]",https://portal.policyreporter.com/geturlupdate.php?urlid=182641&updateid=3845047,https://portal.policyreporter.com/policy-updates/182641,182641,,9/29/2023,Active,10/1/2023,10/1/2024,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:21pm,,,,,,,,,,,,CHIR_IDrecP41NVxRSiCi372-182641-AKEmergency Room ,recP41NVxRSiCi372
Drugs Requiring Medical Necessity Review,,Policy Database,Cigna,,,"Commercial,Medicare Advantage","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare Advantage: [AL,AR,AZ,CO,CT,DE,FL,GA,IL,KS,KY,MD,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA]",Pharmaceutical Policy,"[""Administrative Documents->Service Coverage Admin->Covered Services->Medical Necessity Determination""]",https://portal.policyreporter.com/geturlupdate.php?urlid=357601&updateid=4880336,https://portal.policyreporter.com/policy-updates/357601,357601,,5/3/2025,Active,5/1/2025,,5/1/2026,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:21pm,,,,,,,,,,,,CHIR_IDrecfcGdq1uSrz4H9Q-357601-AKDrugs Requiring,recfcGdq1uSrz4H9Q
Evernorth Behavioral Health (WV Commercial),,Policy Database,Cigna,,,Commercial,WV,1,Commercial: [WV],Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms->Medical PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=291706&updateid=4081594,https://portal.policyreporter.com/policy-updates/291706,291706,,1/24/2024,Active,12/1/2023,,12/1/2024,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:21pm,,,,,,,,,,,,CHIR_IDrec7d72n4NkilbB4y-291706-WVEvernorth Behav,rec7d72n4NkilbB4y
"Facility Services, Supplies and Equipment",,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies""]",https://portal.policyreporter.com/geturlupdate.php?urlid=291250&updateid=4728521,https://portal.policyreporter.com/policy-updates/291250,291250,,1/18/2025,Active,1/1/2025,,11/1/2025,1631919,,,,,,,,,,,,,,,,,,,,,,checked,,Final,,Includes CGM and insulin pump codes,6/19/2025 9:21pm,,,,,,,,,,,,CHIR_IDrecD9Y8wOpjEgmMbR-291250-AKFacility Servic,recD9Y8wOpjEgmMbR
General Intake,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms->Medical PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=291749&updateid=2999378,https://portal.policyreporter.com/policy-updates/291749,291749,,3/15/2022,Active,12/31/2021,,12/31/2022,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrec9IjK1vWqEtLaFQ-291749-AKGeneral Intake,rec9IjK1vWqEtLaFQ
General Medication (AR Commercial),,Policy Database,Cigna,,,Commercial,AR,1,Commercial: [AR],Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=247277&updateid=1565458,https://portal.policyreporter.com/policy-updates/247277,247277,,3/18/2020,,10/10/2019,,,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrectETFfxLl33wqPL-247277-ARGeneral Medicat,rectETFfxLl33wqPL
General Medication (MS Commercial),,Policy Database,Cigna,,,Commercial,MS,1,Commercial: [MS],Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=247284&updateid=1565464,https://portal.policyreporter.com/policy-updates/247284,247284,,3/18/2020,,10/10/2019,,,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrecboz2xgRfWaMsQ4-247284-MSGeneral Medicat,recboz2xgRfWaMsQ4
General Medication (WV Commercial),,Policy Database,Cigna,,,Commercial,WV,1,Commercial: [WV],Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=247289&updateid=1565462,https://portal.policyreporter.com/policy-updates/247289,247289,,3/18/2020,,11/14/2019,,,0,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrecEmV4QNnAtpq5D5-247289-WVGeneral Medicat,recEmV4QNnAtpq5D5
General Medication Prior Authorization Form (AZ),,Policy Database,Cigna,,,"Commercial,Medicare Advantage,Medicare Part D",AZ,1,"Commercial: [AZ],Medicare Advantage: [AZ],Medicare Part D: [AZ]",Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=310742&updateid=3496138,https://portal.policyreporter.com/policy-updates/310742,310742,,3/21/2023,Active,12/1/2021,,12/1/2022,62761,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrecbXqP5ZgL0JGeSj-310742-AZGeneral Medicat,recbXqP5ZgL0JGeSj
General Medication Prior Authorization Form (NM),,Policy Database,Cigna,,,"Commercial,Medicare Advantage",NM,1,"Commercial: [NM],Medicare Advantage: [NM]",Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms->Pharmaceutical PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=310745&updateid=3496141,https://portal.policyreporter.com/policy-updates/310745,310745,,3/21/2023,Active,3/21/2023,,3/21/2024,4,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrecSibm85rNaRY449-310745-NMGeneral Medicat,recSibm85rNaRY449
General Prior Authorization Form (IL),,Policy Database,Cigna,,,"Commercial,Medicare Advantage,Medicare Part D",IL,1,"Commercial: [IL],Medicare Advantage: [IL],Medicare Part D: [IL]",Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=310744&updateid=3496140,https://portal.policyreporter.com/policy-updates/310744,310744,,3/21/2023,Active,6/1/2021,,6/1/2022,60695,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrec9DqljQZJDuZwXO-310744-ILGeneral Prior A,rec9DqljQZJDuZwXO
Glucagon-Like Peptide-1 Agonists (Employer Plans),,Policy Database,Cigna,,,"Commercial,Medicare Advantage","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare Advantage: [AL,AR,AZ,CO,CT,DE,FL,GA,IL,KS,KY,MD,MO,MS,NC,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA]",Pharmaceutical Policy,"[""Pharmaceuticals->Diabetes Agents->GLP-1 Agonists for Diabetes""]",https://portal.policyreporter.com/geturlupdate.php?urlid=357600&updateid=4553263,https://portal.policyreporter.com/policy-updates/357600,357600,,10/16/2024,Active,9/20/2024,,9/20/2025,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:22pm,,,,,,,,,,,,CHIR_IDrecPOiZr8kzvIjafd-357600-AKGlucagon-Like P,recPOiZr8kzvIjafd
Hospice Care,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Medical Policy,"[""Payment Policies->Point of Service Billing->Hospice Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=74017&updateid=4771514,https://portal.policyreporter.com/policy-updates/74017,74017,,2/16/2025,Active,2/15/2025,2/15/2026,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:23pm,,,,,,,,,,,,CHIR_IDrecjVHoDbHggaZzrg-74017-AKHospice Care,recjVHoDbHggaZzrg
Guideline Definitions (eviCore),,Policy Database,Cigna,,,"Commercial,Medicare-Medicaid Dual-Eligibles,Medicare Advantage,Medicare Part D","AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID],Medicare-Medicaid Dual-Eligibles: [AL,AR,DE,GA,MD,MS,NC,PA,TN,TX],Medicare Advantage: [AL,AR,AZ,CA,DC,DE,GA,IL,KS,MD,MO,MS,NC,PA,SC,TN,TX],Medicare Part D: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Guideline,"[""Administrative Documents->Service Coverage Admin->Covered Services->Medical Necessity Determination""]",https://portal.policyreporter.com/geturlupdate.php?urlid=368858&updateid=4811515,https://portal.policyreporter.com/policy-updates/368858,368858,,3/17/2025,Active,,,,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:23pm,,,,,,,,,,,,CHIR_IDrecd5ykbw7owBsIzP-368858-AKGuideline Defin,recd5ykbw7owBsIzP
Indiana Medical,,Policy Database,Cigna,,,"Commercial,Medicare Advantage",IN,1,"Commercial: [IN],Medicare Advantage: [IN]",Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms->Medical PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=316185&updateid=3901439,https://portal.policyreporter.com/policy-updates/316185,316185,,10/31/2023,Active,10/31/2023,,10/31/2024,4198,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:23pm,,,,,,,,,,,,CHIR_IDrecOv6ughqdoy68MX-316185-INIndiana Medical,recOv6ughqdoy68MX
Injectable Medications,,Policy Database,Cigna,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",54,"Commercial: [MA,AZ,CO,FL,GA,IL,KS,MO,NC,TN,TX,UT,VA,AL,AR,CA,CT,DC,DE,HI,IN,KY,LA,MD,ME,MI,MN,MS,MT,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,VI,VT,WA,WI,WV,WY,AK,FN,IA,ID]",Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=129672&updateid=1530452,https://portal.policyreporter.com/policy-updates/129672,129672,,2/19/2020,,8/16/2019,,8/1/2020,1631919,,,,,,,,,,,,,,,,,,,,,,,,Final,,No CGM criteria info,6/19/2025 9:23pm,,,,,,,,,,,,CHIR_IDrecWW8c1eZEG8EBpR-129672-AKInjectable Medi,recWW8c1eZEG8EBpR
